cluster_id,csv_row,mosque_name,area,province,photo_count,mosques_in_cluster,photo_preview
2,2,مسجد الشيخ عبدالعزيز ابازيد,اللجاة,درعا,12,6,files/IMG_7489.JPG; files/IMG_7490.JPG; files/IMG_7724.JPG; files/IMG_7734.JPG; files/IMG_7678.JPG; 
2,3,مسجد العمري,معربا,درعا,12,6,files/IMG_7489.JPG; files/IMG_7490.JPG; files/IMG_7724.JPG; files/IMG_7734.JPG; files/IMG_7678.JPG; 
2,4,مسجد الشومرة,اللجاة,درعا,12,6,files/IMG_7489.JPG; files/IMG_7490.JPG; files/IMG_7724.JPG; files/IMG_7734.JPG; files/IMG_7678.JPG; 
2,5,مسجد الشياحة,اللجاة,درعا,12,6,files/IMG_7489.JPG; files/IMG_7490.JPG; files/IMG_7724.JPG; files/IMG_7734.JPG; files/IMG_7678.JPG; 
2,6,مسجد المدورة,اللجاة,درعا,12,6,files/IMG_7489.JPG; files/IMG_7490.JPG; files/IMG_7724.JPG; files/IMG_7734.JPG; files/IMG_7678.JPG; 
2,7,مسجد سطح القعدان,اللجاة,درعا,12,6,files/IMG_7489.JPG; files/IMG_7490.JPG; files/IMG_7724.JPG; files/IMG_7734.JPG; files/IMG_7678.JPG; 
3,8,مسجد البعيات,اللجاة,درعا,2,2,files/IMG_20250820_123306_125.JPG; files/IMG_20250820_123306_623.JPG
3,9,مزرعة ناحية المسمية,درعا,درعا,2,2,files/IMG_20250820_123306_125.JPG; files/IMG_20250820_123306_623.JPG
8,10,مسجد عبادة بن الصامت,حرستا,ريف دمشق,16,6,files/IMG_5001.JPG; files/IMG_5009.JPG; files/IMG_5015.JPG; files/IMG_5254.JPG; files/IMG_5246.JPG; 
8,11,مسجد عقيل بن أبي طالب,حرستا,ريف دمشق,16,6,files/IMG_5001.JPG; files/IMG_5009.JPG; files/IMG_5015.JPG; files/IMG_5254.JPG; files/IMG_5246.JPG; 
8,12,مسجد العمري,حرستا,ريف دمشق,16,6,files/IMG_5001.JPG; files/IMG_5009.JPG; files/IMG_5015.JPG; files/IMG_5254.JPG; files/IMG_5246.JPG; 
8,13,مسجد الفتح,حرستا,ريف دمشق,16,6,files/IMG_5001.JPG; files/IMG_5009.JPG; files/IMG_5015.JPG; files/IMG_5254.JPG; files/IMG_5246.JPG; 
8,14,مسجد الخولاني,حرستا,ريف دمشق,16,6,files/IMG_5001.JPG; files/IMG_5009.JPG; files/IMG_5015.JPG; files/IMG_5254.JPG; files/IMG_5246.JPG; 
8,15,مسجد حذيفة بن اليمان,حرستا,ريف دمشق,16,6,files/IMG_5001.JPG; files/IMG_5009.JPG; files/IMG_5015.JPG; files/IMG_5254.JPG; files/IMG_5246.JPG; 
9,16,أبو بكر الصديق,داريا,ريف دمشق,12,6,files/IMG_4862.JPG; files/IMG_4859.JPG; files/IMG_4974.JPG; files/IMG_4976.JPG; files/IMG_4742.JPG; 
9,17,الحسن و الحسين,داريا,ريف دمشق,12,6,files/IMG_4862.JPG; files/IMG_4859.JPG; files/IMG_4974.JPG; files/IMG_4976.JPG; files/IMG_4742.JPG; 
9,18,الرحمن,داريا,ريف دمشق,12,6,files/IMG_4862.JPG; files/IMG_4859.JPG; files/IMG_4974.JPG; files/IMG_4976.JPG; files/IMG_4742.JPG; 
9,19,الزاوية,داريا,ريف دمشق,12,6,files/IMG_4862.JPG; files/IMG_4859.JPG; files/IMG_4974.JPG; files/IMG_4976.JPG; files/IMG_4742.JPG; 
9,20,السلام,داريا,ريف دمشق,12,6,files/IMG_4862.JPG; files/IMG_4859.JPG; files/IMG_4974.JPG; files/IMG_4976.JPG; files/IMG_4742.JPG; 
9,21,السمح بن مالك,داريا,ريف دمشق,12,6,files/IMG_4862.JPG; files/IMG_4859.JPG; files/IMG_4974.JPG; files/IMG_4976.JPG; files/IMG_4742.JPG; 
10,22,الكبير,معضمية الشام,ريف دمشق,10,6,files/IMG_4951.JPG; files/IMG_4961.JPG; files/IMG_4830.JPG; files/IMG_4838.JPG; files/IMG_4944.JPG; 
10,23,صلاح الدين,معضمية الشام,ريف دمشق,10,6,files/IMG_4951.JPG; files/IMG_4961.JPG; files/IMG_4830.JPG; files/IMG_4838.JPG; files/IMG_4944.JPG; 
10,24,داريا,داريا,ريف دمشق,10,6,files/IMG_4951.JPG; files/IMG_4961.JPG; files/IMG_4830.JPG; files/IMG_4838.JPG; files/IMG_4944.JPG; 
10,25,علي بن أبي طالب,معضمية الشام,ريف دمشق,10,6,files/IMG_4951.JPG; files/IMG_4961.JPG; files/IMG_4830.JPG; files/IMG_4838.JPG; files/IMG_4944.JPG; 
10,26,عمر بن الخطاب,معضمية الشام,ريف دمشق,10,6,files/IMG_4951.JPG; files/IMG_4961.JPG; files/IMG_4830.JPG; files/IMG_4838.JPG; files/IMG_4944.JPG; 
10,27,فاطمة الزهراء,داريا,ريف دمشق,10,6,files/IMG_4951.JPG; files/IMG_4961.JPG; files/IMG_4830.JPG; files/IMG_4838.JPG; files/IMG_4944.JPG; 
